OBJECTID,MSSA_ID,Observed,Cond,LocalR2,Predicted,Intercept,C1_BR,C2_HR,C3_AFFL,C4_SInS,C5_SPoD,Residual,StdError,StdErr_Int,StdErrC1_B,StdErrC2_H,StdErrC3_A,StdErrC4_S,StdErrC5_S,StdResid,tValC1,tValC2,tValC3,tValC4,tValC5,pValC1,pValC2,pValC3,pValC4,pValC5
6,115.1,0.643544863,12.35146114,0.131369031,0.840833239,0.963505283,-2.092917587,-0.088311642,-0.06234651,0.04565273,-0.076656747,-0.197288376,0.182345897,0.245973877,4.06567619,0.47580544,0.06898682,0.100239055,0.088172383,-1.081945794,-0.514777245,-0.185604523,-0.903745226,0.455438556,-0.869396338,0.304642547,0.426803949,0.185526041,0.325516693,0.194674205
7,115.2a,0.819988419,14.75316668,0.176116634,0.817083711,0.979130513,-3.287638553,0.025574068,-0.0807311,0.076718392,-0.092755395,0.002904708,0.211737176,0.246216012,3.528919557,0.509572615,0.06976205,0.114766846,0.086828972,0.013718461,-0.931627514,0.050187289,-1.157235198,0.668471724,-1.06825398,0.178306486,0.480100141,0.126710077,0.253662231,0.145615975
8,115.2b,0.995169547,13.24730009,0.154422459,0.83027195,0.99662957,-2.594783034,-0.055376804,-0.076732547,0.041677684,-0.097488597,0.164897597,0.188788512,0.227819522,2.421524441,0.476882734,0.063583932,0.095484053,0.077599038,0.873451438,-1.071549389,-0.116122477,-1.206791468,0.43648842,-1.256311923,0.144882497,0.45404193,0.116980326,0.332308429,0.107816203
9,115.2c,0.695791179,13.50290382,0.162469671,0.750885356,0.932172122,-1.430772525,0.008303895,-0.074158392,0.086172892,-0.069556415,-0.055094177,0.187647071,0.238033948,3.218785883,0.477154418,0.071255245,0.107224437,0.079788856,-0.293605316,-0.444506897,0.017402952,-1.040742934,0.8036684,-0.871756016,0.329427478,0.493096915,0.151840017,0.212954557,0.194036806
10,115.2d,1.055926463,15.54385077,0.188063611,0.912768111,0.885722645,-0.884277329,0.109721789,-0.081063629,0.127353134,-0.05798008,0.143158352,0.191392509,0.24395086,2.366701921,0.519624334,0.069927259,0.128203705,0.074197206,0.747983048,-0.373632742,0.211155987,-1.159256489,0.993365473,-0.781432125,0.355235939,0.416870253,0.126302141,0.162981795,0.219366507
11,116a,0.63224307,16.43286426,0.328799664,0.845953862,0.678220213,1.617606221,0.131191827,0.03036218,0.096877157,0.046275266,-0.213710792,0.2178631,0.243059357,0.886751824,0.361072844,0.072834878,0.126242762,0.090494823,-0.980940748,1.82419272,0.363338948,0.416863187,0.767387817,0.511358159,0.037459286,0.359045792,0.339402649,0.223474748,0.305828496
12,116b,0.534530189,16.83480528,0.233897283,0.565458848,0.909287824,1.105666101,-0.010286198,-0.065671402,0.075109788,-0.075030853,-0.030928659,0.12065575,0.278083123,1.235574701,0.46463284,0.069266557,0.146178756,0.111355879,-0.256338045,0.894859776,-0.022138336,-0.948096806,0.513821504,-0.673793374,0.187865657,0.49121885,0.174129279,0.304973844,0.251983553
13,116c,0.884676042,16.40485138,0.282068532,0.796113927,0.77218549,1.578579784,0.061589459,0.007299165,0.069112649,-0.009266702,0.088562115,0.216007371,0.270002674,1.039182538,0.392966405,0.077563233,0.130147226,0.10551492,0.409995802,1.51905919,0.156729579,0.094105993,0.531034359,-0.087823622,0.067950595,0.438087465,0.4627261,0.299032758,0.465207679
14,116d,0.784395703,18.11727743,0.243615544,0.71777466,0.856746886,0.487475443,0.157373298,-0.07789639,0.133097193,-0.069010952,0.066621043,0.166503861,0.300963173,1.468864822,0.6005393,0.068230104,0.183463779,0.107295417,0.400117104,0.331872229,0.262053288,-1.141671878,0.725468499,-0.643186386,0.370780732,0.397251664,0.129882864,0.236002876,0.261720628
15,116e,0.818367116,15.93673467,0.359101854,0.897996574,0.678544658,1.578915032,0.172854484,0.04032064,0.086497474,0.026080694,-0.079629458,0.207704472,0.238071153,0.761873062,0.373150892,0.063585114,0.123291642,0.083461012,-0.38337864,2.072412205,0.463229454,0.634120758,0.701568026,0.312489549,0.022058839,0.322741554,0.264642589,0.243321501,0.378072372
16,116f,0.82971925,16.5797116,0.250997974,0.772213246,0.778681126,1.509850887,-0.00370855,-0.038093978,0.132127897,0.04222376,0.057506004,0.194577876,0.268967789,1.271062618,0.38834352,0.085142279,0.143818465,0.115208766,0.295542359,1.187865072,-0.009549663,-0.447415538,0.91871302,0.366497808,0.120629664,0.496211878,0.328385007,0.181627386,0.357875097
17,116g,0.578078139,17.31772386,0.245621307,0.73796599,0.920053661,1.0248583,0.006956274,-0.07056251,0.076371888,-0.087353917,-0.159887851,0.186557677,0.287833569,1.302348162,0.507939599,0.068551257,0.158565098,0.113775456,-0.857042459,0.786931121,0.01369508,-1.029339394,0.481643748,-0.767774707,0.217770246,0.494567579,0.154472792,0.316223015,0.223360972
18,116h,1.148413347,17.50960189,0.229469205,0.823999779,0.918909275,0.735021001,0.008273469,-0.08508506,0.103678856,-0.069150997,0.324413568,0.215852399,0.283098722,1.446592553,0.505695,0.070161772,0.154725478,0.108956604,1.50294168,0.508105064,0.016360592,-1.212698286,0.670082633,-0.634665494,0.306958829,0.493510341,0.115858124,0.25315344,0.26446653
19,116i,0.700043458,16.23548451,0.238033967,0.746118021,0.846565151,1.21266157,0.021277332,-0.030867421,0.068074506,-0.047896775,-0.046074563,0.202281721,0.262384162,1.011804588,0.417918718,0.064879893,0.134657501,0.100510037,-0.227774227,1.198513611,0.050912608,-0.475762523,0.505538168,-0.476537231,0.118566365,0.479812795,0.318298647,0.307852074,0.318024893
20,116j,0.92106507,16.73001309,0.253284456,0.859088466,0.84177026,1.160159923,0.050279964,-0.024593855,0.064259505,-0.056964282,0.061976604,0.204774819,0.27351091,1.002785135,0.471824706,0.060951574,0.150113154,0.100097993,0.302657351,1.156937696,0.106564925,-0.403498278,0.428073781,-0.569085151,0.126770199,0.457809271,0.344267978,0.335342776,0.28609605
21,116k,0.933522366,17.4358511,0.302904533,0.772982765,0.762405033,1.556771539,-0.016009749,-0.054425706,0.175106573,0.079231691,0.160539601,0.214865143,0.252044358,1.418991408,0.363793929,0.089676515,0.158928024,0.114130283,0.747164472,1.097097227,-0.044007742,-0.606911472,1.101797962,0.694221453,0.139283473,0.482548674,0.273514417,0.138270075,0.24559636
22,116l,0.824094691,16.403618,0.234852768,0.760383132,0.8181521,1.436252207,0.000661878,-0.030885651,0.08688657,-0.012006621,0.063711559,0.210963565,0.271773109,1.127806861,0.39460043,0.078695929,0.129134538,0.107985349,0.302002665,1.273491284,0.001677336,-0.39246821,0.672837578,-0.111187499,0.104765257,0.499334631,0.348303563,0.252284605,0.45598666
23,116m,0.738617574,18.52798916,0.287689408,0.738398006,0.929417619,0.548982124,-0.098055644,-0.136405643,0.21214613,0.028134837,0.000219568,0.170780307,0.296726554,2.508005996,0.442574446,0.08377996,0.14744268,0.107477084,0.001285673,0.218891871,-0.221557402,-1.628141664,1.438837996,0.261775223,0.413873238,0.412841756,0.05531768,0.078636233,0.397358168
