OBJECTID,MSSA_ID,Observed,Cond,LocalR2,Predicted,Intercept,C1_BR,C2_HR,C3_AFFL,C4_SInS,C5_SPoD,Residual,StdError,StdErr_Int,StdErrC1_B,StdErrC2_H,StdErrC3_A,StdErrC4_S,StdErrC5_S,StdResid,tValC1,tValC2,tValC3,tValC4,tValC5,pValC1,pValC2,pValC3,pValC4,pValC5
6,115.1,0.769570371,12.35146114,0.361578214,1.036796811,1.026963662,-0.714530391,0.679735711,-0.077072156,-0.011593711,-0.14785965,-0.26722644,0.357047106,0.481635522,7.960902572,0.931663167,0.135081431,0.196275677,0.172648218,-0.748434689,-0.089754947,0.729593844,-0.570560704,-0.059068504,-0.856421525,0.464444639,0.234752457,0.285599969,0.476582504,0.198202474
7,115.2a,0.991212735,14.75316668,0.364580857,0.918048407,1.392960624,-2.075061973,-0.099023158,-0.087452554,-0.183632168,-0.18366655,0.073164328,0.414597462,0.48210964,6.909892343,0.997781858,0.13659939,0.224722196,0.170017718,0.176470757,-0.300303083,-0.099243294,-0.640211895,-0.817151891,-1.080278879,0.382680149,0.460697942,0.262677451,0.2091222,0.142951975
8,115.2b,1.177686518,13.24730009,0.397598233,0.948954713,1.106912262,-1.943753665,0.477268466,-0.052380545,-0.093074567,-0.184465036,0.228731805,0.369662235,0.446087916,4.741528653,0.93377259,0.124502165,0.186965024,0.151944807,0.61875892,-0.409942406,0.511118522,-0.420719953,-0.49781807,-1.214026586,0.341918681,0.305911696,0.338003728,0.310545655,0.11560686
9,115.2c,0.598130423,13.50290382,0.346007315,0.830536853,1.247541124,-0.4592151,0.1882142,-0.097063175,-0.096245059,-0.153081688,-0.23240643,0.367427207,0.466088537,6.30262707,0.934304567,0.139523177,0.209953586,0.156232635,-0.632523736,-0.072860903,0.201448443,-0.695677781,-0.458411125,-0.979831696,0.471123509,0.420638185,0.245144473,0.324456664,0.166263113
10,115.2d,0.908813285,15.54385077,0.351067524,1.08687666,1.48053481,0.820935249,-0.420026841,-0.090788774,-0.25151929,-0.172039733,-0.178063375,0.37476106,0.4776743,4.634181997,1.017463885,0.136922882,0.251032586,0.145283761,-0.475138411,0.177147822,-0.412817444,-0.663065025,-1.00193881,-1.18416354,0.430102621,0.340872578,0.255373938,0.160925835,0.121352977
11,116a,1.615536247,16.43286426,0.06961803,1.350538578,1.466408091,1.480173104,-0.096937713,-0.01117754,-0.18613094,-0.179500449,0.264997669,0.426592486,0.475928671,1.736327377,0.707008034,0.14261622,0.24719291,0.177195732,0.62119629,0.852473516,-0.137109776,-0.078374956,-0.752978475,-1.013006615,0.19928394,0.445784755,0.468942572,0.227736461,0.158297679
12,116b,1.169094942,16.83480528,0.363485696,1.199282962,2.015610977,2.611010075,-1.155403588,-0.131445272,-0.522486609,-0.38428907,-0.03018802,0.236253117,0.544507862,2.419349047,0.909786366,0.135629176,0.2862291,0.218043263,-0.127778294,1.079220081,-1.269972414,-0.969151887,-1.825414008,-1.762444136,0.143185165,0.105384863,0.168883424,0.037365445,0.042469943
13,116c,1.35745215,16.40485138,0.139715424,1.298541812,1.741023534,1.762623092,-0.535689232,-0.074169263,-0.329248343,-0.296536856,0.058910338,0.422958827,0.528685729,2.034798285,0.769458049,0.151874697,0.254838146,0.206606222,0.139281496,0.866239718,-0.696190302,-0.488358263,-1.291990025,-1.435275536,0.195528934,0.244985551,0.313860599,0.101552807,0.079139734
14,116d,0.82471408,18.11727743,0.418347801,0.832619196,1.923455295,2.971886023,-1.214441314,-0.099693619,-0.554290918,-0.340347975,-0.007905116,0.326027198,0.589308736,2.876148811,1.175901531,0.133599722,0.359236005,0.21009257,-0.024246798,1.033286599,-1.032774668,-0.746211278,-1.5429715,-1.619990531,0.153557976,0.153676413,0.229754153,0.065000014,0.05619022
15,116e,1.527404345,15.93673467,0.187095919,1.195664663,1.607605264,1.575575535,-0.210616279,-0.007534827,-0.313119807,-0.285860846,0.331739682,0.406701121,0.466161387,1.491805283,0.730657769,0.124504479,0.241414393,0.163422997,0.815684207,1.056153611,-0.288255716,-0.060518525,-1.297022117,-1.749208199,0.148331352,0.387252282,0.476008358,0.100691913,0.043614036
16,116f,1.349934729,16.5797116,0.099473709,1.31615683,1.674920802,1.405702844,-0.506693086,-0.157841812,-0.109844648,-0.160026805,0.033777899,0.380998249,0.526659346,2.488837081,0.760406089,0.166715044,0.281607471,0.225587509,0.088656309,0.564803078,-0.666345383,-0.946776055,-0.390062975,-0.709377953,0.287538076,0.254334665,0.174461878,0.349185953,0.240916136
17,116g,1.266494269,17.31772386,0.409505772,1.355690115,2.073784828,2.889712542,-1.317507187,-0.125676367,-0.582300131,-0.40019896,-0.089195846,0.365294092,0.563599974,2.550096551,0.994584288,0.134228565,0.310482496,0.222780978,-0.244175441,1.133177699,-1.324681278,-0.936286307,-1.875468465,-1.796378505,0.131638327,0.096058043,0.177118273,0.033686806,0.039650951
18,116h,1.305976796,17.50960189,0.391564291,1.253252266,2.019483767,2.867825972,-1.310918477,-0.128029549,-0.536214935,-0.344943857,0.05272453,0.422655381,0.554328785,2.832538018,0.990189193,0.137382075,0.30296423,0.2133453,0.12474591,1.012458069,-1.323907074,-0.93192325,-1.769895197,-1.616833636,0.158427247,0.096185505,0.178230905,0.041837002,0.056531152
