OBJECTID,MSSA_ID,region_id,Brst_ISIR,Brst_ISMR,Crcm_ISIR,Crcm_ISMR,Crcf_ISIR,Crcf_ISMR,Cerv_ISIR,Cerv_ISMR,WR,BR,AR,HR,DISAD,AFFL,SES,Ins,PoD,LnPoD,D3b,SInS,SPoD,SD3b
1,1.1,2,1.020736221,3.175994047,1.282172092,0.637936822,1.056851493,1.380821811,0.825060332,0.811856981,0.644890664,0.014189054,0.097080119,0.214969634,-0.936514359,0.884653705,-0.601414823,0.898597509,1752.000139,7.468513351,0,1.055018247,-0.342562189,-0.968202807
2,1.2,2,1.219424902,3.059995898,1.764893251,1.792215425,1.154697316,1.004536989,0.857098189,0.588093019,0.673569139,0.016266358,0.144242392,0.133731014,-1.647842171,0.902673286,-1.231228132,0.943816682,116.5451531,4.758278778,0,1.560278082,-0.671490569,-0.968202807
3,112.1,2,1.115494513,1.061494102,1.321619551,1.494431197,1.232128709,1.187219543,0.924943863,1.399231871,0.560125056,0.012287879,0.018400709,0.391625577,-0.493287937,0.098967364,0.168753661,0.815899582,3239.92325,8.08330492,0,0.130986731,-0.043305933,-0.968202807
4,112.2,2,1.040009227,1.019503835,1.506919356,1.96353412,0.855318984,1.006256885,0.886301537,1.696454886,0.693338892,0.006382092,0.029569289,0.239568968,-1.911130831,0.473782358,-1.073755201,0.84997274,134.1610909,4.899041249,0,0.511705728,-0.66794759,-0.968202807
5,112.3,2,1.051659247,0.951215514,2.209883593,1.906868363,0.780739726,1.323967146,0.994146238,1.150749724,0.275558831,0.0733972,0.328666175,0.277966102,-2.367162583,0.144356237,-2.129489569,0.881454188,450.4786883,6.110310769,0,0.863466058,-0.604328698,-0.968202807
6,115.1,1,1.026854497,0.643544863,0.908351876,0.769570371,0.894303688,1.094330481,1.069965193,0.800651638,0.700400298,0.004366888,0.036512035,0.231999584,1.967882965,1.727544271,2.46953527,0.839993415,3689.273671,8.213184881,88.80703245,0.400200989,0.047068982,0.695263732
7,115.2a,1,1.035263294,0.819988419,1.198275125,0.991212735,0.483300209,0.540317035,0.815922421,1.583483403,0.645587015,0.012385448,0.098128798,0.204707898,1.801426017,2.119876776,2.366653903,0.892680272,5132.520866,8.543352214,73.39071667,0.988901553,0.337339864,0.406496899
8,115.2b,1,1.18987308,0.995169547,1.151951874,1.177686518,0.605543332,0.748830691,1.709961812,1.862743644,0.721966273,0.013272783,0.087819753,0.142022436,2.85207819,3.140712048,3.135581693,0.937797084,664.6199223,6.499215332,113.0832056,1.49301765,-0.56125987,1.149986749
9,115.2c,1,1.036248891,0.695791179,0.946021388,0.598130423,0.679582396,0.789354813,1.529788185,0.601420637,0.674592924,0.023327127,0.117578543,0.133330692,2.8853452,3.096096009,3.591996638,0.900661622,4335.768225,8.374654088,82.45803186,1.078081769,0.177094209,0.576339028
10,115.2d,1,0.983982773,1.055926463,1.203187251,0.908813285,0.992544481,1.168038566,1.51684753,0,0.659902683,0.011783272,0.103090479,0.200289321,0.163180874,1.185922985,0.618276062,0.88135192,3300.483273,8.101824183,111.6922563,0.862323359,-0.031125891,1.123932533
11,116a,1,0.867756971,0.63224307,1.629165764,1.615536247,0.927502303,0.95791955,0.585025202,0.832508894,0.24728173,0.04757284,0.262745391,0.41152248,0.112350807,0.131738253,0.0404777,0.795812495,7951.324002,8.981093735,86.32710833,-0.093457848,0.904267327,0.648811658
12,116b,1,0.519975303,0.534530189,1.031586747,1.169094942,0.641315899,0.788395577,0,0,0.040489093,0.008154411,0.042469818,0.902850185,0.915349498,-1.177657267,1.149795469,0.586500206,19240.88463,9.864792702,128.3876526,-2.432224473,3.174862916,1.436658139
13,116c,1,0.791847345,0.884676042,1.28769908,1.35745215,1.037625933,1.035304846,1.003967061,1.988308361,0.244091868,0.031634475,0.228152897,0.461369907,2.107679903,-0.269842979,1.80959193,0.754601526,11058.89329,9.310990206,100.2334817,-0.553931714,1.52927244,0.909295385
14,116d,1,1.194418878,0.784395703,1.273164628,0.82471408,0.860265603,0.821055396,0.71507365,0.68025844,0.719192789,0.006529304,0.155370521,0.088542753,3.492357364,4.1154358,5.070127109,0.907936807,2721.862465,7.909071655,115.3735949,1.159371596,-0.147500115,1.192888599
15,116e,1,1.005356093,0.818367116,1.080339169,1.527404345,0.85498125,0.831739451,0.786854182,0.89491352,0.511364518,0.023961592,0.230057146,0.191744456,1.921093589,1.671615894,2.441157265,0.873512097,6136.119309,8.721947787,92.87055764,0.774724506,0.539187064,0.771378629
16,116f,1,0.86262649,0.82971925,1.364120247,1.349934729,0.991223568,1.051625061,1.371963494,1.332638125,0.357234411,0.022313702,0.214211536,0.37743369,1.364613183,0.879736391,1.871086327,0.785882023,6017.986526,8.702508018,100.6076898,-0.204416725,0.515427788,0.91630477
