MSSA_ID,Breast Cancer,Breast Cancer_Local R square ,Breast Cancer_Residual,Breast Cancer_% of Black population,Breast Cancer_% of Hispanic population,Breast Cancer_Affluence score,Breast Cancer_Standardized % of health-insured population,Breast Cancer_Standardized population density,Colorectal Male,Colorectal Male_Local R square,Colorectal Male_Residual,Colorectal Male_% of Black population,Colorectal Male_% of Hispanic population,Colorectal Male_Affluence score,Colorectal Male_Standardized % of health-insured population,Colorectal Male_Standardized population density,% of Black population,% of Hispanic population,Affluence score,Standardized % of health-insured population,Standardized population density
115.1,Breast Cancer,0.131369031,-0.197288376,-2.092917587,-0.088311642,-0.06234651,0.04565273,-0.076656747,Colorectal Male,0.361578214,-0.26722644,-0.714530391,0.679735711,-0.077072156,-0.011593711,-0.14785965,0.004366888,0.231999584,1.727544271,0.400200989,0.047068982
115.2a,Breast Cancer,0.176116634,0.002904708,-3.287638553,0.025574068,-0.0807311,0.076718392,-0.092755395,Colorectal Male,0.364580857,0.073164328,-2.075061973,-0.099023158,-0.087452554,-0.183632168,-0.18366655,0.012385448,0.204707898,2.119876776,0.988901553,0.337339864
115.2b,Breast Cancer,0.154422459,0.164897597,-2.594783034,-0.055376804,-0.076732547,0.041677684,-0.097488597,Colorectal Male,0.397598233,0.228731805,-1.943753665,0.477268466,-0.052380545,-0.093074567,-0.184465036,0.013272783,0.142022436,3.140712048,1.49301765,-0.56125987
115.2c,Breast Cancer,0.162469671,-0.055094177,-1.430772525,0.008303895,-0.074158392,0.086172892,-0.069556415,Colorectal Male,0.346007315,-0.23240643,-0.4592151,0.1882142,-0.097063175,-0.096245059,-0.153081688,0.023327127,0.133330692,3.096096009,1.078081769,0.177094209
115.2d,Breast Cancer,0.188063611,0.143158352,-0.884277329,0.109721789,-0.081063629,0.127353134,-0.05798008,Colorectal Male,0.351067524,-0.178063375,0.820935249,-0.420026841,-0.090788774,-0.25151929,-0.172039733,0.011783272,0.200289321,1.185922985,0.862323359,-0.031125891
116a,Breast Cancer,0.328799664,-0.213710792,1.617606221,0.131191827,0.03036218,0.096877157,0.046275266,Colorectal Male,0.06961803,0.264997669,1.480173104,-0.096937713,-0.01117754,-0.18613094,-0.179500449,0.04757284,0.41152248,0.131738253,-0.093457848,0.904267327
116b,Breast Cancer,0.233897283,-0.030928659,1.105666101,-0.010286198,-0.065671402,0.075109788,-0.075030853,Colorectal Male,0.363485696,-0.03018802,2.611010075,-1.155403588,-0.131445272,-0.522486609,-0.38428907,0.008154411,0.902850185,-1.177657267,-2.432224473,3.174862916
116c,Breast Cancer,0.282068532,0.088562115,1.578579784,0.061589459,0.007299165,0.069112649,-0.009266702,Colorectal Male,0.139715424,0.058910338,1.762623092,-0.535689232,-0.074169263,-0.329248343,-0.296536856,0.031634475,0.461369907,-0.269842979,-0.553931714,1.52927244
116d,Breast Cancer,0.243615544,0.066621043,0.487475443,0.157373298,-0.07789639,0.133097193,-0.069010952,Colorectal Male,0.418347801,-0.007905116,2.971886023,-1.214441314,-0.099693619,-0.554290918,-0.340347975,0.006529304,0.088542753,4.1154358,1.159371596,-0.147500115
116e,Breast Cancer,0.359101854,-0.079629458,1.578915032,0.172854484,0.04032064,0.086497474,0.026080694,Colorectal Male,0.187095919,0.331739682,1.575575535,-0.210616279,-0.007534827,-0.313119807,-0.285860846,0.023961592,0.191744456,1.671615894,0.774724506,0.539187064
