Geography,SRAID,Total Households,Mean Household Earnings,Households with Earnings (%),Households with Social Security Income (%),Households with Supplemental Security Income (%),Households with Cash Public Assistance Income (%),Households with Retirement Income (%),Households with Food Stamps/ SNAP Benefits (%)
Central San Diego,1,77968,"$   78,574.31",83,17.4,4.7,2.3,10.4,6
Mid-City,6,57451,"$   62,866.88",82.5,19,7.5,4.7,11.3,13.9
Southeastern San Diego,5,43103,"$   64,892.56",82.2,27,8,4.9,21.5,15
Alpine,38,5755,"$   100,391.00",78.2,33.6,7.1,2.2,25.2,4.3
El Cajon,34,42064,"$   72,083.31",78.4,26.6,9.6,8.7,17.4,19.4
Jamul,30,4790,"$   128,652.67",81.6,30.2,4.5,2,24.3,2.4
La Mesa,33,24667,"$   77,310.23",76.6,29,5.7,2,20.7,8.2
Laguna-Pine Valley,61,1847,"$   93,036.00",76.2,36.4,4.2,2.6,29.6,5
Lakeside,36,19870,"$   84,687.90",82.7,26.4,5.8,3.4,18.7,6.8
Lemon Grove,32,9603,"$   69,215.71",80.3,31.1,8.3,3.8,21.4,12.3
Mountain Empire,62,2436,"$   58,117.00",58.3,43.8,9.2,1.1,25.7,5.7
Santee,35,18277,"$   89,929.75",81.4,27.2,6,2.4,22.3,5
Spring Valley,31,28061,"$   80,104.00",79.7,29.2,6.2,3.9,23.5,12
Coastal,11,35424,"$   135,661.57",81,23.4,2,0.7,14.7,1.7
Del Mar-Mira Mesa,13,56612,"$   136,314.31",89.8,17.7,3.5,1.4,14.8,2.5
Elliott-Navajo,17,35333,"$   102,405.95",80.6,27.7,3.2,1.1,22.7,2.6
Kearny Mesa,10,62020,"$   83,028.61",81.2,24,4.7,1.8,16.6,4
Miramar,16,515,"$   59,804.00",95.5,1,0,0,0,0.8
Peninsula,2,25296,"$   99,568.43",81.6,22,3.3,1.7,16.6,3
University,12,24549,"$   87,519.38",80.4,17.9,2.1,1,11.4,1.5
Carlsbad,41,47338,"$   111,871.32",75.4,30.2,2.6,1,20.3,1.9
Oceanside,42,57369,"$   76,789.28",77.5,26.8,4.9,2.6,20.2,6.3
San Dieguito,40,37249,"$   144,191.40",77.7,28.4,1.6,1.4,16.7,1.6
Vista,52,32696,"$   71,855.40",79.4,23.6,4.3,4,15.5,6.8
Anza-Borrego Springs,63,1540,"$   40,464.00",60,49.4,15.5,4.9,31.2,14.6
Escondido,50,51902,"$   78,318.75",80.2,25.3,4.9,2.9,16,8.8
Fallbrook,55,17205,"$   84,685.89",72.3,37.1,3.6,2.3,23.4,6.2
North San Diego,14,41213,"$   116,505.11",83.6,23.7,4.2,1.1,18.5,2.6
Palomar-Julian,60,2174,"$   57,788.00",59.4,52.6,3.2,5.6,30.9,12.4
Pauma,54,2154,"$   86,663.00",80.5,21.8,1.2,2.2,11.9,5.8
Poway,15,30283,"$   135,759.47",81.5,27,3.1,1,21.2,2
Ramona,39,11645,"$   96,704.43",81.7,27.8,4.6,3.4,21.4,6.5
San Marcos,51,31830,"$   73,250.07",74.3,29.6,3.3,1.7,19,4.8
Valley Center,53,7764,"$   92,496.00",74.7,37.4,2.4,0.9,25.6,4.4
Chula Vista,21,36903,"$   57,674.81",76.7,29.7,7.5,3.9,19.9,14.6
Coronado,3,8986,"$   137,120.63",71.7,34.9,1.7,0.7,27.1,0.8
National City,4,15623,"$   53,862.23",80.4,28.9,9.1,5.2,13.8,15.7
South Bay,22,38435,"$   63,088.24",82.9,28.7,9,5,18.6,15.9
Sweetwater,20,42825,"$   103,495.26",88.2,22.1,4.9,1.8,19.9,4.1
