Year,SRA_Name,SRAID,Total_Population,Male_Population,Female_Population,White_Population,Black_Population,Asian_Population,Hispanic_Population,Median_Total_Income_of_a_Household($),Population_with_Health_Insurance,Population_with_a_Disability
2013,Central San Diego,1,166284,80974,64967,82519,11133,8535,58577,13317,116016,15227
2013,Peninsula,2,62482,29008,24623,45947,2105,2311,10061,5043,48726,4808
2013,Coronado,3,22710,10143,8921,17288,757,635,3379,2784,16989,1776
2013,National City,4,58674,23295,22553,5670,2436,10203,39087,627,37347,4978
2013,Southeastern San Diego,5,162311,59379,62529,15935,25834,31258,82825,2115,120181,14284
2013,Mid-City,6,165266,64657,65075,48057,21114,23619,67472,5900,124871,16319
2013,Kearny Mesa,10,157414,67265,65290,86989,6915,22303,33580,9097,128276,14539
2013,Coastal,11,72051,32823,31880,60727,536,2717,6376,8278,63430,4699
2013,University,12,59377,26842,26034,31481,1093,17970,6443,7554,53778,3394
2013,Del Mar-Mira Mesa,13,163351,63083,64796,75481,4145,57973,17925,16687,148531,10622
2013,North San Diego,14,109209,39585,44721,61334,3123,27286,11406,11694,100962,7152
2013,Poway,15,88017,33286,35516,56869,1414,14651,10603,9259,81381,6433
2013,Miramar,16,5656,3965,827,3283,615,214,1345,75,1559,31
2013,Elliott-Navajo,17,89061,34636,36633,58911,3840,7901,13655,7580,79211,8031
2013,Sweetwater,20,139066,49390,55511,33035,6869,27982,65567,7912,117271,8595
2013,Chula Vista,21,114873,42325,46802,20211,3513,6195,82502,2762,87957,13414
2013,South Bay,22,140932,53748,53592,20625,6215,13002,97059,2146,102838,14763
2013,Jamul,30,18768,8573,6486,9339,1105,1427,6126,987,14145,1317
2013,Spring Valley,31,84350,31815,34187,39271,7856,4502,28788,3781,69871,10035
2013,Lemon Grove,32,30060,11353,11934,8852,3936,2145,13617,509,24222,3516
2013,La Mesa,33,59811,22809,26156,35236,4487,3293,12885,3764,50032,6943
2013,El Cajon,34,126523,47334,50638,70588,6811,4572,36701,3558,100510,15671
2013,Santee,35,51331,19113,21750,37323,868,1793,8374,1871,44849,5819
2013,Lakeside,36,55429,20786,21702,39538,1013,1409,10789,1940,47711,6405
2013,Harbison Crest,37,15549,6728,6503,12340,54,102,2195,687,13571,2251
2013,Alpine,38,14514,5682,6303,10875,246,133,2694,806,12928,1866
2013,Ramona,39,36895,14450,14133,26280,471,300,8868,1304,31063,3617
2013,San Dieguito,40,95157,37620,38869,74024,597,5599,12262,9874,84152,6346
2013,Carlsbad,41,117164,47020,47484,87090,1591,8217,16953,11526,103525,9403
2013,Oceanside,42,161327,63494,63517,72546,7337,9919,63089,5766,127849,15892
2013,Pendleton,43,39429,21172,7576,23563,3453,1437,8780,447,18597,687
2013,Escondido,50,165544,62237,65541,76983,3050,9231,73077,4986,125388,14875
2013,San Marcos,51,91490,34060,37425,48648,1809,6765,31575,3505,74333,9202
2013,Vista,52,99135,40187,38968,45826,2373,4076,44630,2382,73062,9748
2013,Valley Center,53,23836,9254,10010,16712,133,783,4536,1150,19374,2753
2013,Pauma,54,7323,2850,2622,3622,87,284,2193,237,5652,556
2013,Fallbrook,55,47880,19978,19506,28809,1099,1529,15325,2128,38967,5743
2013,Palomar-Julian,60,5113,2050,2135,3761,33,119,679,375,3891,570
2013,Laguna-Pine Valley,61,5063,2213,1913,4082,135,109,473,264,3900,677
2013,Mountain Empire,62,6794,2770,2467,4024,144,87,1949,128,4949,1247
2013,Anza-Borrego Springs,63,3046,1431,1248,1901,3,143,942,128,2521,595
